s,left,right
4.88,1.3951597597017773,1.0161038129731457
4.89,1.3896010141177595,1.0157947466419621
4.9,1.3852015651477962,1.0155105573127918
4.91,1.3814876844914536,1.0152426484068442
4.92,1.377984214428166,1.0149824866086203
4.93,1.374192561273216,1.0147225758318223
4.94,1.3695949821179634,1.0144562674967457
4.95,1.3636731729640899,1.0141769378564
4.96,1.3559119845040144,1.013878045679149
4.97,1.346274271062074,1.013565552587582
4.98,1.3357081475932437,1.0132711910755101
4.99,1.3252832976449107,1.0130298734334813
5.0,1.3160694047644599,1.0128765119520438
5.01,1.3089334694767556,1.0128347865034657
5.02,1.3035753804378492,1.0128636972027956
5.03,1.299278126321138,1.0128991401333391
5.04,1.2953241753584868,1.0128769825362376
5.05,1.2910220417665188,1.0127358371336517
5.06,1.2862010706799676,1.0124692169102145
5.07,1.2811713632786963,1.0121213108610356
5.08,1.276261035642721,1.0117382069137042
5.09,1.2717973018113644,1.0113659338118688
5.1,1.267863232803746,1.011034501791096
5.11,1.2639685731881796,1.0107363044703574
5.12,1.259540855530937,1.0104583414433612
5.13,1.2540076123982884,1.0101876123038134
5.14,1.2469372726559995,1.0099129227465418
5.15,1.2388361134143255,1.0096351004199007
5.16,1.2305934316248572,1.0093598827716277
5.17,1.2230996611012033,1.009093021822503
5.18,1.2172162060911504,1.00883996865681
5.19,1.213084039744051,1.0085987059725685
5.2,1.2100931190583781,1.0083594310200066
5.21,1.2075982511412457,1.0081119766661837
5.22,1.204954706622645,1.0078461942787
5.23,1.201790340651384,1.0075628148630373
5.24,1.1984642389175089,1.007291754954105
5.25,1.1954568266380006,1.007067774098878
5.26,1.1932485290298398,1.0069256318443327
5.27,1.1922326972465067,1.0068923012113489
5.28,1.1921301049719484,1.0069346105369898
5.29,1.1923483216091788,1.006991380124598
5.3,1.1922931690866105,1.0070012740110448
5.31,1.1913840126494872,1.0069044165328735
5.32,1.1894665877567352,1.006686905128391
5.33,1.1868886723620318,1.0063889696540718
5.34,1.1840268489398535,1.0060539457958393
5.35,1.1812576443630058,1.0057251628704678
5.36,1.178854578426458,1.0054341507753581
5.37,1.1767746636984031,1.0051761836322686
5.38,1.1749143220503386,1.004939594922999
5.39,1.1731699753537619,1.0047127181293487
5.4,1.1714467286748111,1.0044848887963926
5.41,1.169727918216774,1.0042544705461698
5.42,1.1680383147931206,1.0040246086626428
5.43,1.1664030676265345,1.003798492099183
5.44,1.1648469857234762,1.0035792627390203
5.45,1.1633809058161506,1.003368129350899
5.46,1.161997070166407,1.0031637280915886
5.47,1.1606864326470712,1.0029645168645969
5.48,1.1594399472448778,1.0027689536112792
5.49,1.1582503130361321,1.0025760761187545
5.5,1.1571163855084303,1.002386967782034
5.51,1.1560383770778693,1.002203162866534
5.52,1.155016500160546,1.0020261956376706
5.53,1.1540508317815823,1.0018571682437762
5.54,1.1531400168502297,1.0016926120578094
5.55,1.1522818394908478,1.0015263111510098
5.56,1.1514740720695973,1.0013520120668729
5.57,1.1507144916531873,1.0011636520241929
5.58,1.1500011364692642,1.0009657620989028
5.59,1.1493324379789776,1.000778824678904
5.6,1.1487068601534256,1.000624640901229
5.61,1.1481228669637074,1.0005250119029099
5.62,1.1475788982588255,1.0004915527284
5.63,1.147073296037765,1.0004945590729684
5.64,1.1466043774918107,1.0004938510271761
5.65,1.1461704598122437,1.0004492486805323
5.66,1.1457698634652511,1.0003236613688007
5.67,1.1454009499218156,1.0001186786065022
5.68,1.1450621085709343,0.999862225210862
5.69,1.1447517293372944,0.9995827313214325
5.7,1.1444682023196124,0.9993084680913468
5.71,1.1442099313484368,0.9990551617522381
5.72,1.143975343683116,0.9988171348028025
5.73,1.1437628688716868,0.9985866188766377
5.74,1.1435709364621847,0.9983558456073414
5.75,1.1433979715716551,0.9981182821602463
5.76,1.1432423786400672,0.9978731612690652
5.77,1.1431025560808286,0.9976213961058863
5.78,1.142976902306646,0.9973639000380448
5.79,1.1428638523159445,0.9971016388881954
5.8,1.142762388895082,0.9968363638781349
5.81,1.14267191670142,0.9965704310935225
